"filename", "language", "Batch", "C#", "XML", "JSON", "Properties", "Log", "comment", "blank", "total"
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\Release\net8.0\win-x64\恶魔轮盘赌弹幕版.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\Release\net8.0\win-x64\恶魔轮盘赌弹幕版.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\Release\net8.0\恶魔轮盘赌弹幕版.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 10, 5, 24
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\Release\net8.0\恶魔轮盘赌弹幕版.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\Release\net8.0\恶魔轮盘赌弹幕版.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\project.assets.json", "JSON", 0, 0, 0, 1363, 0, 0, 0, 0, 1363
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\publish\win-x64\project.assets.json", "JSON", 0, 0, 0, 4135, 0, 0, 0, 0, 4135
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\publish\win-x64\恶魔轮盘赌弹幕版.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 189, 0, 0, 0, 0, 189
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\publish\win-x64\恶魔轮盘赌弹幕版.csproj.nuget.g.props", "XML", 0, 0, 23, 0, 0, 0, 0, 0, 23
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\publish\win-x64\恶魔轮盘赌弹幕版.csproj.nuget.g.targets", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\恶魔轮盘赌弹幕版.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 165, 0, 0, 0, 0, 165
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\恶魔轮盘赌弹幕版.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\恶魔轮盘赌弹幕版.csproj.nuget.g.targets", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版.csproj", "XML", 0, 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版启动器.bat", "Batch", 9, 0, 0, 0, 0, 0, 0, 0, 9
"Total", "-", 18, 1779, 53092, 6955, 43, 16698, 111, 292, 78988
